POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
44,1321.1,3158.61,3976.83,-3276.38,-28912.38,1452.82,14842.34,-4030.11,97.69,0.0,-7437.05,-3932.42,-11369.47
45,1285.54,3255.02,4006.64,-3276.68,-29005.41,1461.43,14804.46,-3916.96,96.31,0.0,-7468.99,-3820.64,-11289.64
46,1345.59,3225.53,3977.33,-3199.0,-29017.92,1458.61,14743.94,-3925.41,97.21,0.0,-7465.91,-3828.2,-11294.12
47,1297.67,3264.6,3998.43,-3280.84,-28960.33,1479.36,14813.68,-3976.8,97.78,0.0,-7387.42,-3879.02,-11266.44
48,1323.5,3184.8,3997.72,-3231.39,-29044.88,1459.37,14793.71,-3926.88,97.6,0.0,-7517.17,-3829.28,-11346.45
49,1286.27,3280.31,4029.92,-3303.3,-28940.21,1443.02,14811.24,-4004.92,96.57,0.0,-7392.76,-3908.34,-11301.1
50,1281.16,3224.02,3977.25,-3225.16,-28972.96,1439.51,14733.88,-3954.15,96.91,0.0,-7542.31,-3857.24,-11399.54
51,1304.4,3284.2,3964.28,-3293.44,-28980.57,1436.29,14859.69,-3930.31,95.99,0.0,-7425.15,-3834.32,-11259.47
52,1285.98,3251.87,4006.21,-3262.22,-29035.69,1474.58,14749.07,-3918.34,96.21,0.0,-7530.2,-3822.13,-11352.33
53,1338.89,3151.37,4041.86,-3258.36,-29046.75,1449.52,14764.78,-3887.72,96.67,0.0,-7558.7,-3791.04,-11349.74
54,1303.12,3223.69,3997.34,-3275.62,-29026.42,1450.43,14827.02,-3935.91,97.47,0.0,-7500.45,-3838.44,-11338.89
55,1216.49,3249.82,4004.59,-3301.25,-29058.68,1462.11,14877.71,-3918.21,95.44,0.0,-7549.2,-3822.77,-11371.97
56,1300.83,3229.42,3991.18,-3259.13,-29049.68,1470.17,14802.49,-3875.79,95.98,0.0,-7514.71,-3779.81,-11294.53
57,1296.07,3208.52,4003.41,-3300.48,-29005.75,1452.07,14816.98,-3901.22,95.59,0.0,-7529.19,-3805.63,-11334.81
58,1340.12,3248.31,4014.54,-3246.05,-29152.33,1460.93,14851.49,-3850.07,94.8,0.0,-7482.97,-3755.27,-11238.24
59,1342.91,3238.61,3986.18,-3292.03,-29102.72,1463.38,14890.67,-3872.29,96.0,0.0,-7473.0,-3776.3,-11249.3
60,1315.25,3153.48,3980.38,-3274.65,-29257.47,1452.4,14918.38,-3823.32,95.29,0.0,-7712.24,-3728.02,-11440.27
61,1295.97,3270.31,3991.98,-3245.9,-29217.98,1455.76,14837.63,-3815.43,95.28,0.0,-7612.23,-3720.16,-11332.38
62,1313.77,3225.33,4011.22,-3281.47,-29100.5,1437.62,14746.44,-3816.07,96.12,0.0,-7647.59,-3719.94,-11367.53
63,1278.39,3234.99,4028.04,-3276.4,-29116.63,1462.39,14855.46,-3838.65,95.48,0.0,-7533.75,-3743.17,-11276.93
64,1336.99,3103.57,3986.76,-3265.87,-29110.3,1461.07,14872.4,-3883.95,96.13,0.0,-7615.39,-3787.81,-11403.2
65,1314.27,3156.14,4047.06,-3235.32,-29093.71,1491.38,14857.96,-3915.65,96.5,0.0,-7462.21,-3819.14,-11281.36
66,1310.41,3221.77,4014.07,-3261.24,-29070.1,1444.15,14768.95,-3907.17,95.66,0.0,-7572.0,-3811.5,-11383.51
67,1266.22,3263.28,4035.84,-3254.78,-29250.5,1461.98,14832.07,-3809.66,95.51,0.0,-7645.88,-3714.15,-11360.03
68,1237.01,3217.87,4040.48,-3287.91,-29234.34,1457.27,14916.52,-3870.95,94.41,0.0,-7653.11,-3776.54,-11429.65
69,1295.52,3226.96,3983.27,-3310.72,-28970.41,1473.54,14784.26,-3919.31,95.24,0.0,-7517.57,-3824.07,-11341.64
70,1314.8,3081.45,3996.76,-3224.98,-29059.09,1449.43,14781.24,-3922.33,97.09,0.0,-7660.39,-3825.25,-11485.64
71,1309.28,3185.31,3993.76,-3278.07,-29004.77,1450.3,14817.25,-4009.11,95.8,0.0,-7526.94,-3913.31,-11440.25
72,1329.19,3140.95,4046.42,-3231.95,-29051.03,1469.32,14871.51,-3949.61,95.55,0.0,-7425.57,-3854.06,-11279.63
73,1293.61,3179.66,4056.02,-3264.04,-29051.95,1472.64,14817.53,-3901.71,95.36,0.0,-7496.54,-3806.36,-11302.9
74,1250.52,3223.09,4033.6,-3262.47,-29058.06,1459.17,14788.42,-3896.87,96.27,0.0,-7565.73,-3800.61,-11366.33
75,1364.0,3205.69,3991.0,-3191.53,-29074.11,1468.39,14747.14,-3913.69,97.16,0.0,-7489.41,-3816.53,-11305.95
76,1269.42,3134.25,4017.62,-3259.84,-29184.75,1503.64,14964.27,-3927.31,95.12,0.0,-7555.38,-3832.19,-11387.57
77,1319.02,3199.08,4019.25,-3263.55,-28900.43,1443.38,14712.87,-3985.15,96.53,0.0,-7470.38,-3888.62,-11359.0
78,1268.32,3200.85,4002.29,-3274.33,-29176.88,1469.91,14940.02,-3842.87,95.67,0.0,-7569.82,-3747.2,-11317.03
79,1257.65,3201.09,4045.44,-3213.43,-29155.74,1484.12,14875.64,-3924.86,96.55,0.0,-7505.22,-3828.31,-11333.53
80,1279.86,3224.82,4003.5,-3252.2,-29227.23,1440.54,14907.93,-3839.32,96.12,0.0,-7622.77,-3743.2,-11365.97
81,1305.24,3202.27,4033.63,-3257.42,-29151.2,1487.77,14843.2,-3859.72,96.97,0.0,-7536.51,-3762.75,-11299.26
82,1308.16,3209.95,4019.98,-3262.49,-29060.74,1452.76,14798.73,-3866.58,95.95,0.0,-7533.65,-3770.63,-11304.28
83,1347.31,3239.72,4091.67,-3291.42,-28944.48,1444.01,14794.28,-3999.63,97.77,0.0,-7318.89,-3901.86,-11220.75
84,1322.67,3311.36,4036.91,-3263.2,-29062.09,1457.35,14784.85,-3968.77,97.02,0.0,-7412.14,-3871.75,-11283.89
85,1285.24,3223.97,3978.09,-3283.38,-28994.58,1466.76,14764.82,-3891.95,95.24,0.0,-7559.09,-3796.7,-11355.79
86,1274.57,3182.25,3949.93,-3281.43,-29020.67,1455.06,14841.82,-3895.1,94.88,0.0,-7598.48,-3800.22,-11398.7
87,1266.06,3214.22,4047.08,-3308.57,-28975.94,1443.04,14811.47,-3902.53,94.12,0.0,-7502.64,-3808.41,-11311.05
88,1308.96,3170.68,4026.28,-3290.71,-29031.68,1459.05,14783.23,-3922.71,94.73,0.0,-7574.19,-3827.98,-11402.17
89,1301.14,3189.16,4048.79,-3278.46,-29076.61,1469.36,14845.99,-3888.91,94.38,0.0,-7500.63,-3794.53,-11295.16
90,1283.78,3219.9,3991.84,-3270.6,-29083.24,1461.88,14808.6,-3917.73,95.72,0.0,-7587.84,-3822.01,-11409.85
91,1234.44,3223.97,4045.4,-3301.81,-29211.71,1448.21,14977.8,-3919.08,95.38,0.0,-7583.7,-3823.71,-11407.41
92,1370.55,3209.21,4011.87,-3258.47,-28975.33,1486.73,14848.03,-3977.56,95.82,0.0,-7307.41,-3881.74,-11189.15
93,1298.4,3228.36,4072.34,-3243.24,-29103.41,1470.86,14905.01,-3945.67,95.86,0.0,-7371.67,-3849.8,-11221.48
94,1296.31,3198.5,4048.45,-3317.19,-29026.22,1441.62,14857.58,-3974.06,93.53,0.0,-7500.94,-3880.52,-11381.47
95,1301.42,3216.29,3987.76,-3255.93,-29178.88,1461.4,14852.58,-3819.04,94.19,0.0,-7615.37,-3724.86,-11340.22
96,1288.3,3286.85,3996.95,-3236.58,-28893.26,1490.96,14806.12,-4042.44,95.84,0.0,-7260.67,-3946.6,-11207.27
97,1316.37,3248.36,4012.94,-3308.35,-28992.6,1424.48,14835.06,-4013.59,95.1,0.0,-7463.74,-3918.49,-11382.23
98,1294.75,3214.03,3993.01,-3284.62,-29009.03,1448.81,14835.4,-3974.7,94.83,0.0,-7507.65,-3879.87,-11387.52
99,1244.55,3189.98,4048.65,-3258.7,-28914.69,1471.33,14782.84,-4021.31,96.37,0.0,-7436.04,-3924.94,-11360.98
